Official 1,Official 2,Official 3,Official 1 Name,Official 2 Name,Official 3 Name,GAME_ID
1162,1164,203592,Scott Foster,Ron Garretson,Dedric Taylor,0021800001
2534,101283,204058,Zach Zarba,Brian Forte,Gediminas Petraitis,0021800002
1151,1162,1188,Sean Corbin,Scott Foster,Leroy Richardson,0021800003
1179,200833,202026,Rodney Mott,Eric Dalen,Karl Lane,0021800004
1146,202049,203593,Tony Brothers,Ben Taylor,Justin Van Duyne,0021800005
1199,2005,1626300,Tom Washington,Matt Boland,Ray Acosta,0021800006
1164,101284,201245,Ron Garretson,John Goble,Marat Kogut,0021800007
2148,201640,202035,Mark Ayotte,Kane Fitzgerald,Brett Nansel,0021800008
2715,200832,201246,Eric Lewis,Curtis Blair,Kevin Cutler,0021800009
2529,202027,203591,Tony Brown,Tre Maddox,Mitchell Ervin,0021800010
1830,202037,202056,Marc Davis,J.T. Orr,CJ Washington,0021800011
1204,2001,202053,Derek Richardson,Jason Phillips,Scott Twardoski,0021800012
1147,1201,202041,Mike Callahan,Leon Wood,Kevin Scott,0021800013
1174,2003,202007,Ken Mauer,Pat Fraher,Nick Buchert,0021800014
2148,2882,1626302,Mark Ayotte,Sean Wright,Aaron Smith,0021800015
2534,101283,204058,Zach Zarba,Brian Forte,Gediminas Petraitis,0021800016
1164,2714,203591,Ron Garretson,David Guthrie,Mitchell Ervin,0021800017
2715,201246,202035,Eric Lewis,Kevin Cutler,Brett Nansel,0021800018
1148,1193,202026,James Capers,Michael Smith,Karl Lane,0021800019
2004,200832,204059,Courtney Kirkland,Curtis Blair,Tyler Ford,0021800020
201638,201639,203593,Brent Barnaky,Josh Tiven,Justin Van Duyne,0021800021
1151,1188,202049,Sean Corbin,Leroy Richardson,Ben Taylor,0021800022
1179,2529,1626300,Rodney Mott,Tony Brown,Ray Acosta,0021800023
1147,1201,200834,Mike Callahan,Leon Wood,Mark Lindsay,0021800024
1830,202041,202056,Marc Davis,Kevin Scott,CJ Washington,0021800025
1174,203592,1627964,Ken Mauer,Dedric Taylor,Jonathan Sterling,0021800026
201246,202058,1626301,Kevin Cutler,James Williams,Jason Goldenberg,0021800027
1155,2882,202007,JB DeRosa,Sean Wright,Nick Buchert,0021800028
