Official 1,Official 2,Official 3,Official 1 Name,Official 2 Name,Official 3 Name,GAME_ID
1162,2882,200832,Scott Foster,Sean Wright,Curtis Blair,0041900161
1201,2529,101284,Leon Wood,Tony Brown,John Goble,0041900111
1151,2003,2534,Sean Corbin,Pat Fraher,Zach Zarba,0041900121
2148,2715,201640,Mark Ayotte,Eric Lewis,Kane Fitzgerald,0041900151
1146,1662,202049,Tony Brothers,Bill Kennedy,Ben Taylor,0041900101
2530,2714,204059,Ed Malloy,David Guthrie,Tyler Ford,0041900131
1148,2002,201639,James Capers,Derrick Collins,Josh Tiven,0041900171
1830,202027,202058,Marc Davis,Tre Maddox,James Williams,0041900141
1151,101283,201640,Sean Corbin,Brian Forte,Kane Fitzgerald,0041900112
1193,2003,2534,Michael Smith,Pat Fraher,Zach Zarba,0041900162
2529,101284,200832,Tony Brown,John Goble,Curtis Blair,0041900122
1162,2004,2882,Scott Foster,Courtney Kirkland,Sean Wright,0041900152
1148,2002,201639,James Capers,Derrick Collins,Josh Tiven,0041900132
1830,202041,204058,Marc Davis,Kevin Scott,Gediminas Petraitis,0041900172
2714,202027,202058,David Guthrie,Tre Maddox,James Williams,0041900102
1146,1662,203592,Tony Brothers,Bill Kennedy,Dedric Taylor,0041900142
2003,2534,201246,Pat Fraher,Zach Zarba,Kevin Cutler,0041900113
2715,201640,204059,Eric Lewis,Kane Fitzgerald,Tyler Ford,0041900163
1162,2004,2882,Scott Foster,Courtney Kirkland,Sean Wright,0041900123
2529,101284,200832,Tony Brown,John Goble,Curtis Blair,0041900153
1193,1830,202041,Michael Smith,Marc Davis,Kevin Scott,0041900103
1146,202027,202049,Tony Brothers,Tre Maddox,Ben Taylor,0041900133
1201,2530,2714,Leon Wood,Ed Malloy,David Guthrie,0041900173
1148,2148,201639,James Capers,Mark Ayotte,Josh Tiven,0041900143
2715,201640,203592,Eric Lewis,Kane Fitzgerald,Dedric Taylor,0041900124
2534,201246,202058,Zach Zarba,Kevin Cutler,James Williams,0041900154
1162,1179,2002,Scott Foster,Rodney Mott,Derrick Collins,0041900114
1151,101283,101284,Sean Corbin,Brian Forte,John Goble,0041900164
1148,2004,2530,James Capers,Courtney Kirkland,Ed Malloy,0041900104
1146,1662,204059,Tony Brothers,Bill Kennedy,Tyler Ford,0041900174
1830,202041,204058,Marc Davis,Kevin Scott,Gediminas Petraitis,0041900134
1179,2714,202049,Rodney Mott,David Guthrie,Ben Taylor,0041900144
1162,2529,202058,Scott Foster,Tony Brown,James Williams,0041900165
2003,201640,202027,Pat Fraher,Kane Fitzgerald,Tre Maddox,0041900155
1146,201639,204059,Tony Brothers,Josh Tiven,Tyler Ford,0041900105
1148,1179,2715,James Capers,Rodney Mott,Eric Lewis,0041900175
1830,200832,202041,Marc Davis,Curtis Blair,Kevin Scott,0041900145
2530,101284,202058,Ed Malloy,John Goble,James Williams,0041900211
1151,1162,1662,Sean Corbin,Scott Foster,Bill Kennedy,0041900156
2004,2534,2882,Courtney Kirkland,Zach Zarba,Sean Wright,0041900166
1179,2715,201640,Rodney Mott,Eric Lewis,Kane Fitzgerald,0041900201
1830,201639,202041,Marc Davis,Josh Tiven,Kevin Scott,0041900176
1146,1151,2534,Tony Brothers,Sean Corbin,Zach Zarba,0041900212
1148,1662,2714,James Capers,Bill Kennedy,David Guthrie,0041900167
1830,2882,202041,Marc Davis,Sean Wright,Kevin Scott,0041900202
1162,2003,2529,Scott Foster,Pat Fraher,Tony Brown,0041900177
1148,1179,201639,James Capers,Rodney Mott,Josh Tiven,0041900213
2534,2715,202058,Zach Zarba,Eric Lewis,James Williams,0041900231
1151,1162,2714,Sean Corbin,Scott Foster,David Guthrie,0041900203
2882,201640,202049,Sean Wright,Kane Fitzgerald,Ben Taylor,0041900221
1662,1830,202041,Bill Kennedy,Marc Davis,Kevin Scott,0041900214
1148,2003,202027,James Capers,Pat Fraher,Tre Maddox,0041900232
1146,2534,204059,Tony Brothers,Zach Zarba,Tyler Ford,0041900204
1162,200832,201639,Scott Foster,Curtis Blair,Josh Tiven,0041900222
